id,sub_standard_folder_id,title,title_en,description,description_en,status,created_at,updated_at
"10","9","المستوى الأول: المبادئ التأسيسية",NULL,NULL,NULL,"1","2021-02-01 09:51:41","2021-08-17 07:40:37"
"11","9","المستوى الثاني : الشروط الأساسية لعمل الأجهزة العليا للرقابة",NULL,NULL,NULL,"1","2021-02-01 09:53:32","2021-02-01 09:53:32"
"12","9","المستوى الثالث : المبادئ الأساسية للرقابة المالية والمحاسبة",NULL,NULL,NULL,"1","2021-02-01 09:54:16","2021-02-01 09:54:16"
"13","9","المستوى الرابع : التوجيهات الإرشادية للرقابة المالية والمحاسبة",NULL,NULL,NULL,"1","2021-02-01 09:55:20","2021-02-01 09:55:20"
"14","9","توجيهات الأنتوساي للحكم الرشيد",NULL,NULL,NULL,"1","2021-02-01 09:56:03","2021-02-01 09:56:03"
"15","9","أدلة العمل الرقابي للجهاز",NULL,NULL,NULL,"1","2021-02-01 09:56:41","2021-02-01 09:56:41"
"16","9","الكتب الإرشادية القطاعية",NULL,NULL,NULL,"1","2021-02-01 10:00:36","2021-02-01 10:00:36"
"17","9","معايير الانتوساي",NULL,NULL,NULL,"1","2021-02-01 10:04:49","2021-02-01 10:04:49"
"18","9","أدلة التدقيق الداخلي",NULL,NULL,NULL,"1","2021-02-01 10:06:00","2021-02-18 07:50:55"
"25","9","أدلة عمل أجهزة ودواوين الرقابة بمجلس التعاون لدول الخليج العربي",NULL,NULL,NULL,"1","2021-02-01 10:40:56","2021-02-01 10:40:56"
